PersonID,Name,Gender,Age,Religion,Occupation,Education,MaritalStatus,Phone,Address,District
500068,Yauvani Kala,Female,53,Hindu,Student,Post Graduate,Widowed,+913374474958,"H.No. 07, Sethi Zila Jammu 552261",Bengaluru Urban
500069,Ayaan Joshi,Female,44,Christian,Labourer,High School,Widowed,+918766764035,"73/389 Nair Chowk, Khammam-599204",Mysuru
500070,Vamakshi Mitter,Female,19,Christian,Student,Post Graduate,Married,09182952530,H.No. 56 Bose Zila Kamarhati-577743,Bengaluru Urban
500071,Manan Randhawa,Male,71,Hindu,Police,Post Graduate,Married,09049195026,"84, Baria Nagar, Bhimavaram 671546",Dakshina Kannada
500072,Yamini Shankar,Female,35,Muslim,Software Engineer,Graduate,Single,1123996686,96/280 Pau Nagar Sikar 730741,Mysuru
500073,Anirudh Wadhwa,Male,49,Christian,Doctor,Diploma,Single,3622965291,850 Sekhon Ganj Mehsana-301243,Mysuru
500074,Riya Viswanathan,Male,23,Buddhist,Student,PUC,Single,6274004434,"H.No. 793, Varty Nagar, Nandyal-309603",Bengaluru Urban
500075,Ekantika Kapoor,Male,67,Christian,Engineer,Diploma,Divorced,+917517729067,"H.No. 82, Bali Road, Jhansi 642741",Mysuru
500076,Vedhika Kadakia,Female,72,Sikh,Private Employee,Graduate,Divorced,4116727505,"09/07 Bhalla Zila, Naihati 405828",Dakshina Kannada
500077,Harinakshi Kunda,Male,57,Hindu,Police,Post Graduate,Married,6612473271,"12/734 Buch Marg, Howrah-638576",Mysuru
500078,Matthew Bora,Female,20,Hindu,Driver,PUC,Single,3142366452,357 Atwal Marg Nellore-792565,Bengaluru Urban
500079,Anmol Radhakrishnan,Male,33,Jain,Engineer,High School,Married,07839855495,"43/282, Dave Zila Thoothukudi-609881",Dakshina Kannada
500080,Wazir Comar,Female,72,Christian,Government Employee,Post Graduate,Widowed,07773919102,"007 Dugar Road, Mira-Bhayandar 382805",Bengaluru Urban
500081,Caleb Purohit,Female,69,Christian,Retired,Diploma,Single,09506095750,763 Sheth Road Proddatur 235918,Dakshina Kannada
500082,Aayush Memon,Female,22,Sikh,Business,PUC,Single,+914476034494,"38/341, Oak Road Gulbarga-524731",Bengaluru Urban
500083,Ijaya Kala,Female,45,Buddhist,Farmer,Primary,Married,7208596830,"H.No. 523, Oommen Zila, Serampore 932239",Mysuru
500084,Zashil Vora,Male,24,Christian,Labourer,High School,Divorced,00594440097,"59/05, Deshpande Street Giridih-070705",Bengaluru Urban
500085,Nihal Sami,Male,46,Hindu,Doctor,PUC,Divorced,08734918825,H.No. 22 Varkey Chowk Saharsa 292636,Mysuru
500086,Kala Gola,Female,24,Christian,Driver,Post Graduate,Married,4928873819,"23/41 Sundaram Path, Jodhpur-215079",Dakshina Kannada
500087,Quincy Khosla,Male,73,Muslim,Farmer,PUC,Divorced,07535953769,"96/09, Maharaj Ganj Thoothukudi-408472",Dakshina Kannada
500088,Kavya Raja,Female,73,Hindu,Teacher,High School,Divorced,05137933980,"28/04 Manne Ganj, Pallavaram 273895",Dakshina Kannada
500089,Chandran Chokshi,Female,24,Hindu,Driver,Post Graduate,Married,+912570143281,"816, Datta Street Raichur 189978",Mysuru
500090,Amol Sibal,Female,42,Hindu,Software Engineer,High School,Married,+916442762026,"79/23 Krish Marg, Kulti 420812",Dakshina Kannada
500091,Ansh Ratti,Female,51,Buddhist,Software Engineer,High School,Married,+913093975076,"H.No. 614, Yadav Road, Kochi-676149",Mysuru
500092,Orinder Nagarajan,Male,54,Muslim,Business,Graduate,Single,4494174832,"22/10 Nair Street, Mango-168984",Mysuru
500093,Mohammed Virk,Female,55,Christian,Private Employee,Post Graduate,Divorced,+910923989949,"H.No. 65, Virk Chowk, Dhanbad-572138",Mysuru
500094,Radhika Murty,Female,20,Muslim,Teacher,Post Graduate,Divorced,1841995705,"779, Yohannan Marg, Katihar-456713",Bengaluru Urban
500095,Dhruv Sen,Female,47,Christian,Private Employee,PUC,Single,+917045651307,"21/378 Mistry Nagar, Ghaziabad 204206",Dakshina Kannada
500096,Indira Aggarwal,Female,66,Hindu,Business,Post Graduate,Widowed,1926164234,"99, Krishnamurthy Zila Serampore 691338",Mysuru
500097,Yahvi Mallick,Female,23,Buddhist,Farmer,Diploma,Widowed,1439668046,"H.No. 60 Setty Path, Tezpur-947798",Bengaluru Urban
500098,Tripti Bera,Male,22,Jain,Farmer,Graduate,Single,4859691544,"48, Din Road Bhind-074005",Mysuru
500099,Nitesh Bhattacharyya,Female,21,Muslim,Student,Diploma,Single,05746414889,"H.No. 91, Ghose Zila, Jaipur-161743",Dakshina Kannada
500100,Aarav Upadhyay,Male,42,Hindu,Police,Diploma,Single,+910096119865,"16, Mammen Path Kulti-564356",Mysuru
500101,Neel Pingle,Female,26,Muslim,Retired,Graduate,Married,+919076100364,"28, Munshi Nagar, Nizamabad-109610",Bengaluru Urban
500102,Widisha Munshi,Male,39,Buddhist,Teacher,Post Graduate,Single,06247123308,"H.No. 911, Chadha Zila, Burhanpur 989861",Dakshina Kannada
500103,Indrajit Sagar,Male,27,Hindu,Police,High School,Divorced,+916196299005,187 Mody Nagar Kharagpur 964482,Bengaluru Urban
500104,Rachana Dua,Male,20,Hindu,Driver,Primary,Divorced,03059549756,"H.No. 25, Doctor Kolkata-269868",Dakshina Kannada
500105,Ijaya Keer,Female,69,Jain,Police,Graduate,Married,2086624893,"92/45, Lad Nagar Hapur-826342",Mysuru
500106,Anya Bhagat,Female,34,Sikh,Retired,Post Graduate,Single,0872966154,"H.No. 864 Pradhan Zila, Gopalpur 653635",Dakshina Kannada
500107,Triveni Chowdhury,Male,71,Jain,Student,Graduate,Single,02849877632,"155 Nagy Road, Vijayawada 864495",Bengaluru Urban
500108,Xalak Kala,Male,26,Buddhist,Farmer,Primary,Married,9010706270,"337 Gala Ganj, Jhansi-157756",Mysuru
500109,Mohini Nair,Female,46,Muslim,Student,Graduate,Single,+919118373260,"H.No. 69, Majumdar Nagaon 298648",Dakshina Kannada
500110,Udant Kashyap,Female,18,Hindu,Software Engineer,Primary,Widowed,1448009060,20/69 Sur Kolkata-683454,Dakshina Kannada
500111,Jack Kanda,Male,39,Christian,Doctor,Diploma,Married,03112412101,96/26 Baria Circle Mira-Bhayandar 226588,Dakshina Kannada
500112,Oliver Trivedi,Male,56,Sikh,Labourer,PUC,Single,2164185907,"H.No. 59, Batta, Kavali-601329",Dakshina Kannada
500113,Abeer Nagarajan,Female,42,Jain,Retired,Diploma,Widowed,03977326956,"H.No. 447, Khalsa Circle Kolhapur 893023",Dakshina Kannada
500114,Ishaan Prakash,Female,20,Muslim,Private Employee,Diploma,Divorced,04201932864,"901, Vohra Circle, Karnal 278757",Bengaluru Urban
500115,Hardik Mohan,Female,53,Buddhist,Retired,PUC,Divorced,+916131600305,"H.No. 05, Tata Road, Durgapur 417250",Dakshina Kannada
500116,Leela Comar,Male,49,Hindu,Software Engineer,Post Graduate,Divorced,8115252432,46/257 Kara Nagar Salem 995917,Dakshina Kannada
500117,Oeshi Lalla,Male,31,Christian,Business,Diploma,Widowed,+917168121321,"H.No. 314 Thakkar Road, Alwar-048466",Bengaluru Urban
500118,Eesha Goswami,Female,64,Hindu,Retired,Post Graduate,Single,+917784337747,"H.No. 759 Sawhney Circle, Jodhpur 552021",Bengaluru Urban
500119,Vasudha Chaudhry,Male,33,Hindu,Farmer,Diploma,Single,+914579890311,265 Sathe Marg Kalyan-Dombivli-511917,Mysuru
500120,Indali Apte,Female,39,Muslim,Engineer,High School,Married,+915933105010,"971 Venkatesh Road, Guntur-084897",Dakshina Kannada
500121,Lopa Deshpande,Male,39,Muslim,Student,Diploma,Married,4593595831,H.No. 104 Bahri Chowk Haldia 653209,Bengaluru Urban
500122,Lucky Merchant,Male,22,Buddhist,Government Employee,High School,Divorced,1810897626,H.No. 353 Naik Path Surat-816984,Dakshina Kannada
500123,Dev Shetty,Female,55,Hindu,Driver,PUC,Widowed,8083477564,"087, Suri Chowk, Karaikudi-439361",Mysuru
500124,Oliver Saha,Male,29,Buddhist,Software Engineer,PUC,Single,0226773512,"000, Butala Chowk, Yamunanagar 355621",Bengaluru Urban
500125,Harini Kala,Female,60,Buddhist,Teacher,Post Graduate,Divorced,+918334794290,H.No. 186 Kade Zila Durg 155267,Bengaluru Urban
500126,Yashoda Prashad,Female,45,Hindu,Police,Diploma,Married,+910440934851,"51, Varghese Chowk Bardhaman-805311",Dakshina Kannada
500127,Anya Samra,Female,36,Hindu,Labourer,High School,Married,05808305451,"21, Palan Thane 288183",Dakshina Kannada
500128,Yoshita Nazareth,Female,71,Muslim,Labourer,PUC,Single,+912100068974,H.No. 66 Varty Chinsurah 806451,Mysuru
500129,Radha Kuruvilla,Male,53,Buddhist,Government Employee,PUC,Married,01411776002,"40/945, Mann Street Eluru-212356",Mysuru
500130,Anusha Bumb,Female,36,Jain,Business,Primary,Married,8870078866,"H.No. 86, Mistry Road Aizawl 077707",Bengaluru Urban
500131,Oviya Gupta,Female,26,Jain,Farmer,Diploma,Divorced,1139291072,"94/86, Khare Nagar, Pune 127169",Dakshina Kannada
500132,Omya Rau,Female,30,Buddhist,Police,Graduate,Married,9800429250,"12 Patil Road, Rohtak-698467",Dakshina Kannada
500133,Ekaraj Bora,Female,44,Hindu,Farmer,Graduate,Widowed,+918594187420,"21/486 Gulati Chowk, Pondicherry-892735",Mysuru
500134,Ekiya Garg,Female,59,Hindu,Police,PUC,Married,9595775205,587 Bora Path Jalna 191543,Dakshina Kannada
500135,Rachana Sengupta,Female,50,Christian,Retired,Primary,Widowed,+913900631457,08/303 Madan Road Farrukhabad-268675,Mysuru
500136,Lakshit Kanda,Female,43,Hindu,Driver,High School,Single,02392172919,"H.No. 44, Sule Chowk, Rewa 033932",Dakshina Kannada
500137,Raagini Bhandari,Female,72,Hindu,Business,Primary,Married,9477567500,"75/29 Lal Zila, Rampur-734438",Dakshina Kannada
500138,Eta Ramesh,Male,45,Buddhist,Teacher,Post Graduate,Widowed,9332595222,"762 Naik Zila, Katihar-082065",Mysuru
500139,David Dass,Male,67,Hindu,Driver,Graduate,Single,4779399116,"H.No. 60, Dube Ganj, Ichalkaranji 701370",Dakshina Kannada
500140,Neha Andra,Male,65,Christian,Software Engineer,Post Graduate,Divorced,+919274631787,"361 Khosla Zila, Ambattur 272730",Mysuru
500141,Chandani Bhatt,Female,33,Sikh,Private Employee,Primary,Divorced,01548100173,19/64 Manda Gaya-604248,Dakshina Kannada
500142,Sachi Sachar,Female,42,Buddhist,Doctor,High School,Widowed,2090972736,"17/66, Dube Street Ranchi 171919",Dakshina Kannada
500143,Aayush Goyal,Male,44,Sikh,Farmer,Primary,Divorced,08738602137,"87 Krish Nagar, Sonipat 923587",Bengaluru Urban
500144,Yauvani Tiwari,Male,22,Hindu,Driver,Graduate,Divorced,8248715281,"96 Kade Zila, Bongaigaon 804705",Bengaluru Urban
500145,Ekalinga Varughese,Female,68,Hindu,Police,Graduate,Married,0858957160,"67/39, Krishnamurthy Marg, Kamarhati 514006",Dakshina Kannada
500146,Vihaan Sur,Male,57,Christian,Doctor,PUC,Single,+913749277176,H.No. 279 Narain Path Bidar-954003,Bengaluru Urban
500147,Abeer Narayanan,Female,75,Buddhist,Labourer,High School,Divorced,05917421559,"390 Murty Circle, Sagar-567739",Dakshina Kannada
500148,Ucchal Gade,Male,30,Hindu,Driver,Diploma,Divorced,+910122149667,"H.No. 09, Shroff Nagar Vasai-Virar 741153",Bengaluru Urban
500149,Keya Kala,Male,58,Muslim,Doctor,Graduate,Divorced,02326722224,"H.No. 78, Buch Road Bhalswa Jahangir Pur-407212",Bengaluru Urban
500150,Yashasvi Prashad,Female,73,Christian,Police,Diploma,Single,+915476232616,"H.No. 90 Shetty Chowk, Davanagere-641315",Dakshina Kannada
500151,Panini Garde,Male,68,Buddhist,Government Employee,Diploma,Single,09636929281,"70/682, Dass Road, Jalgaon-486988",Bengaluru Urban
500152,Anusha Kumar,Female,55,Buddhist,Farmer,Primary,Married,7046778540,"706 Karnik Street, Tirunelveli 947720",Bengaluru Urban
500153,Manthan Naidu,Female,66,Muslim,Private Employee,Post Graduate,Married,3345723904,"H.No. 124 Dubey Road, Burhanpur-929846",Mysuru
500154,Manthan Khare,Female,64,Hindu,Teacher,Primary,Single,8343165042,"28/666 Chana Road, Bahraich-616735",Dakshina Kannada
500155,Fariq Wable,Male,52,Christian,Teacher,High School,Single,+913163977625,71 Bera Street Amritsar 151629,Bengaluru Urban
500156,Vasudha Ganesh,Female,28,Hindu,Retired,High School,Married,2630108297,H.No. 523 Lad Marg Amaravati 881794,Dakshina Kannada
500157,Harini Chakraborty,Female,43,Muslim,Retired,PUC,Divorced,+912790645382,"80/30, Nayar Path, Siliguri-179310",Mysuru
500158,Eesha Chand,Male,50,Buddhist,Government Employee,Graduate,Widowed,07689764109,"32, Arya Nagar Madurai-462675",Mysuru
500159,Chakradhar Thakkar,Female,44,Sikh,Farmer,Graduate,Divorced,9208227764,"08 Sanghvi Ganj, Fatehpur-317253",Mysuru
500160,Avi Mistry,Female,19,Muslim,Police,Diploma,Married,+916011305203,39 Samra Zila Mira-Bhayandar 714648,Dakshina Kannada
500161,Chaitaly Walia,Female,60,Jain,Doctor,Graduate,Divorced,7738828370,89 Chatterjee Bokaro 796922,Bengaluru Urban
500162,Aarush Gole,Male,18,Christian,Doctor,PUC,Divorced,06186348915,"991 Kale Street, Morbi 061256",Mysuru
500163,Tripti Shere,Male,24,Jain,Teacher,Primary,Single,+919427619655,"H.No. 73, Mandal Marg Thane-109186",Mysuru
500164,Bhanumati Menon,Female,35,Hindu,Doctor,Diploma,Divorced,+910248651367,"42/05 Goyal Nagar, Salem 680841",Bengaluru Urban
500165,Dhruv Sabharwal,Female,44,Sikh,Private Employee,Diploma,Married,4695470226,11/262 Sur Path Gangtok 666136,Bengaluru Urban
500166,Omkaar Issac,Male,39,Christian,Police,Graduate,Divorced,0638972749,"H.No. 842, Jhaveri Street, Sultan Pur Majra-582794",Dakshina Kannada
500167,Arjun Panchal,Male,28,Jain,Police,Post Graduate,Married,09980343473,"52/413, Badal Nagar, Tadepalligudem-431121",Dakshina Kannada
500168,Max Rege,Female,30,Jain,Police,High School,Divorced,6119412429,"H.No. 912, Gulati Nagar, Uluberia 878216",Mysuru
500169,Adya Ganguly,Male,20,Jain,Doctor,Diploma,Divorced,+913720396334,"87/165 Dhar, Tadipatri 085046",Dakshina Kannada
500170,Edhitha Bhat,Female,65,Buddhist,Teacher,High School,Married,5378554248,"H.No. 558, Chaudhuri Path, Muzaffarpur 775273",Mysuru
500171,Balhaar Upadhyay,Female,71,Christian,Retired,Diploma,Divorced,3154882963,"H.No. 89, Brahmbhatt Path Raichur-337841",Mysuru
500172,Yashica Jani,Male,40,Sikh,Teacher,High School,Married,06387375493,"H.No. 80, Badami Ganj Ambattur-291970",Mysuru
500173,Rehaan Shetty,Male,53,Hindu,Farmer,PUC,Single,+910848553674,69/097 Walla Marg Anantapuram 634567,Mysuru
500174,Hema Puri,Female,40,Jain,Doctor,Diploma,Widowed,05968911499,H.No. 930 Koshy Road Panipat 986950,Mysuru
500175,Nitesh Wali,Male,55,Muslim,Business,Graduate,Married,05397411813,"51/571, Goyal, Durgapur 829835",Mysuru
500176,Ekta Lanka,Male,59,Buddhist,Police,Graduate,Divorced,07413514717,"223 Naik, Tadepalligudem 738555",Bengaluru Urban
500177,William Dixit,Male,41,Christian,Business,Diploma,Married,6958510922,H.No. 23 Sachdev Zila Malda-606800,Bengaluru Urban
500178,Nikita Tara,Female,54,Jain,Student,High School,Married,6833226501,"H.No. 540 Bains Path, Danapur 276172",Mysuru
500179,Manbir Mallick,Male,49,Sikh,Labourer,Graduate,Single,+919535784747,"06/388, Hans Road, Sagar 795137",Bengaluru Urban
500180,Wahab Bhakta,Male,39,Muslim,Teacher,Primary,Married,+914802190766,"H.No. 548, Pai Street Guntur-496589",Bengaluru Urban
500181,Deepa Patla,Female,69,Jain,Software Engineer,High School,Single,+917038961065,"76/14, Merchant Street Ongole 420076",Mysuru
500182,Aradhana Palan,Male,21,Buddhist,Labourer,Primary,Divorced,+917449732421,"13/525, Pau Path Gurgaon 430597",Dakshina Kannada
500183,Ekaja Apte,Male,43,Sikh,Police,PUC,Single,2368581287,"559, Tank Marg Miryalaguda-124054",Dakshina Kannada
500184,Daksha Singhal,Female,56,Jain,Private Employee,Primary,Divorced,05375774140,"48/73, Dhingra Marg, Mumbai-445852",Bengaluru Urban
500185,Dalaja Char,Female,36,Muslim,Government Employee,Diploma,Single,+917815514811,"246 Pandey, Firozabad-523989",Bengaluru Urban
500186,Alka Morar,Female,20,Sikh,Private Employee,Post Graduate,Divorced,07181130154,96/52 Om Road Panihati-976869,Bengaluru Urban
500187,Jyoti Ramesh,Female,36,Muslim,Student,Primary,Single,09074256110,"H.No. 31 Sane Zila, Morena-792415",Bengaluru Urban
500188,Advay Sathe,Female,43,Jain,Doctor,PUC,Widowed,00051188520,"64/730 Roy Circle, Imphal-657878",Mysuru
500189,Farhan Sabharwal,Female,32,Jain,Labourer,Diploma,Married,+910246718630,"12 D’Alia Ganj, Warangal 356997",Bengaluru Urban
500190,Yashoda Pau,Female,46,Hindu,Doctor,Post Graduate,Married,+912842813487,H.No. 67 Dhawan Street Vasai-Virar 819967,Bengaluru Urban
500191,Peter Krish,Female,53,Hindu,Labourer,Primary,Divorced,08422758259,"H.No. 237 Shanker, Gandhidham 735873",Mysuru
500192,Panini Uppal,Male,62,Buddhist,Software Engineer,High School,Widowed,4186407264,"H.No. 252, Chaudhuri Chowk, Pali 839378",Bengaluru Urban
500193,Zansi Boase,Male,43,Muslim,Retired,PUC,Divorced,09218037187,"H.No. 54 Varma Chowk, Khora -610276",Dakshina Kannada
500194,Ridhi Bedi,Male,59,Christian,Business,Graduate,Single,01657531055,H.No. 85 Pai Road Jamnagar 015302,Dakshina Kannada
500195,Balendra Kapur,Male,49,Hindu,Student,Primary,Widowed,+914140497326,"H.No. 48 Dass Street, Dhanbad 080196",Dakshina Kannada
500196,Chatresh Acharya,Female,35,Christian,Labourer,High School,Single,2911193232,"H.No. 78, Sidhu Marg Thiruvananthapuram 247703",Bengaluru Urban
